0 | 0 | 0
0 | 1 | 0
0 | 2 | 4565
0 | 3 | 0
0 | 4 | 0
0 | 5 | 0
0 | 6 | 0
0 | 7 | 0
0 | 8 | 0
0 | 9 | 0
0 | 10 | 0
0 | 11 | 2243
0 | 12 | 0
0 | 13 | 0
0 | 14 | 0
0 | 15 | 2388
1 | 0 | 0
1 | 1 | 4380
1 | 2 | 0
1 | 3 | 4864
1 | 4 | 3427
1 | 5 | 0
1 | 6 | 0
1 | 7 | 0
1 | 8 | 4901
1 | 9 | 0
1 | 10 | 0
1 | 11 | 0
1 | 12 | 3864
1 | 13 | 0
1 | 14 | 4491
1 | 15 | 0
2 | 0 | 4828
2 | 1 | 0
2 | 2 | 0
2 | 3 | 1807
2 | 4 | 0
2 | 5 | 3131
2 | 6 | 0
2 | 7 | 2098
2 | 8 | 4455
2 | 9 | 0
2 | 10 | 4639
2 | 11 | 0
2 | 12 | 2535
2 | 13 | 0
2 | 14 | 0
2 | 15 | 3058
3 | 0 | 0
3 | 1 | 3939
3 | 2 | 3502
3 | 3 | 0
3 | 4 | 0
3 | 5 | 4085
3 | 6 | 2758
3 | 7 | 0
3 | 8 | 2869
3 | 9 | 0
3 | 10 | 2983
3 | 11 | 0
3 | 12 | 4308
3 | 13 | 0
3 | 14 | 3828
3 | 15 | 0
4 | 0 | 4754
4 | 1 | 0
4 | 2 | 0
4 | 3 | 4047
4 | 4 | 4044
4 | 5 | 0
4 | 6 | 2682
4 | 7 | 0
4 | 8 | 0
4 | 9 | 4196
4 | 10 | 0
4 | 11 | 2945
4 | 12 | 4234
4 | 13 | 0
4 | 14 | 0
4 | 15 | 4716

